Product,Current_Price,Cost,Current_Stock,Sales_30d,Competitor_Price,Price_History,Sales_History
Куртка зимняя,5900,3500,45,60,6200,"[6500,6200,5900]","[50,55,60]"
Джинсы классические,2900,1800,120,85,3100,"[3200,3050,2900]","[70,75,85]"
Футболка белая,1200,800,200,150,1250,"[1300,1250,1200]","[120,135,150]"
Кроссовки спортивные,4500,2800,75,95,4600,"[4800,4650,4500]","[80,85,95]"
Рубашка офисная,2500,1600,100,70,2600,"[2700,2600,2500]","[60,65,70]"
Пальто осеннее,8900,5500,30,40,9100,"[9500,9200,8900]","[35,38,40]"
Свитер шерстяной,3200,2000,85,65,3300,"[3400,3250,3200]","[55,60,65]"
Брюки брючные,2800,1800,110,80,2900,"[3000,2950,2800]","[70,75,80]"
Платье летнее,3900,2500,60,45,4000,"[4200,4050,3900]","[40,42,45]"
Туфли кожаные,5200,3300,50,55,5300,"[5500,5350,5200]","[45,50,55]"
Куртка демисезонная,4200,2700,70,75,4300,"[4500,4350,4200]","[65,70,75]"
Джинсы скинни,3100,2000,90,70,3200,"[3300,3200,3100]","[60,65,70]"
Майка спортивная,800,500,250,180,850,"[900,875,800]","[150,165,180]"
Кроссовки беговые,3800,2400,65,55,3900,"[4000,3900,3800]","[45,50,55]"
Рубашка поло,1800,1200,150,100,1900,"[2000,1950,1800]","[90,95,100]"
Пальто зимнее,9900,6200,25,30,10100,"[10500,10000,9900]","[25,28,30]"
Свитер кашемировый,4500,2900,55,45,4600,"[4800,4650,4500]","[40,42,45]"
Брюки спортивные,2200,1400,130,90,2300,"[2400,2300,2200]","[80,85,90]"
Платье вечернее,5900,3800,40,35,6000,"[6200,6050,5900]","[30,32,35]"
Туфли на каблуке,4800,3100,45,40,4900,"[5000,4950,4800]","[35,38,40]"
Куртка кожаная,7900,5000,35,40,8000,"[8200,8050,7900]","[35,38,40]"
Джинсы бойфренды,3400,2200,80,65,3500,"[3600,3550,3400]","[55,60,65]"
Футболка поло,1500,1000,180,120,1600,"[1700,1600,1500]","[110,115,120]"
Кроссовки кеды,2800,1800,95,75,2900,"[3000,2900,2800]","[65,70,75]"
Рубашка шелковая,2200,1400,120,85,2300,"[2400,2300,2200]","[75,80,85]"
Пальто демисезонное,6900,4400,40,45,7000,"[7200,7050,6900]","[40,42,45]"
Свитер вязаный,2800,1800,100,75,2900,"[3000,2900,2800]","[65,70,75]"
Брюки классические,2600,1700,110,80,2700,"[2800,2750,2600]","[70,75,80]"
Платье коктейльное,4900,3100,45,40,5000,"[5200,5050,4900]","[35,38,40]"
Туфли балетки,3200,2100,60,50,3300,"[3400,3300,3200]","[45,48,50]"
Куртка ветровка,3300,2100,85,65,3400,"[3500,3400,3300]","[55,60,65]"
Джинсы mom-fit,3600,2300,75,60,3700,"[3800,3700,3600]","[50,55,60]"
Майка хлопковая,700,450,280,200,750,"[800,775,700]","[180,190,200]"
Кроссовки кроссфит,4200,2700,55,45,4300,"[4400,4300,4200]","[40,42,45]"
Рубашка блузка,1900,1200,140,95,2000,"[2100,2050,1900]","[85,90,95]"
Пальто тренч,7800,5000,30,35,7900,"[8000,7950,7800]","[30,32,35]"
Свитер оверсайз,3800,2400,50,45,3900,"[4000,3900,3800]","[40,42,45]"
Брюки зауженные,2400,1600,115,85,2500,"[2600,2550,2400]","[75,80,85]"
Платье макси,5200,3300,40,35,5300,"[5400,5350,5200]","[30,32,35]"
Туфли лоферы,3500,2300,50,45,3600,"[3700,3600,3500]","[40,42,45]"
Куртка парка,4100,2600,70,60,4200,"[4300,4200,4100]","[50,55,60]"
Джинсы straight-fit,3300,2100,85,70,3400,"[3500,3400,3300]","[60,65,70]"
Футболка майка,900,600,260,180,950,"[1000,975,900]","[160,170,180]"
Кроссовки теннисные,3400,2200,65,55,3500,"[3600,3500,3400]","[45,50,55]"
Рубашка рубашка-блузка,2000,1300,130,90,2100,"[2200,2100,2000]","[80,85,90]"
Пальто шерстяное,8500,5400,35,40,8600,"[8700,8650,8500]","[35,38,40]"
Свитер кардиган,3200,2100,60,50,3300,"[3400,3300,3200]","[45,48,50]"
Брюки брюки-бананы,2700,1800,105,80,2800,"[2900,2800,2700]","[70,75,80]"
Платье миди,4500,2900,45,40,4600,"[4700,4600,4500]","[35,38,40]"
Туфли мокасины,3000,2000,55,45,3100,"[3200,3100,3000]","[40,42,45]"
Куртка бомбер,3700,2400,65,55,3800,"[3900,3800,3700]","[45,50,55]"
Джинсы relaxed-fit,3500,2300,80,65,3600,"[3700,3600,3500]","[55,60,65]"
Майка майка-борцовка,750,500,270,190,800,"[850,825,750]","[170,180,190]"
Кроссовки беговые-2,3800,2400,60,50,3900,"[4000,3900,3800]","[45,48,50]"
Рубашка рубашка-туника,2100,1400,125,90,2200,"[2300,2200,2100]","[80,85,90]"
Пальто пальто-кокон,9200,5800,30,35,9300,"[9400,9350,9200]","[30,32,35]"
Свитер свитер-хомут,3400,2200,55,45,3500,"[3600,3500,3400]","[40,42,45]"
Брюки брюки-клеш,2900,1900,100,75,3000,"[3100,3000,2900]","[65,70,75]"
Платье платье-футляр,4800,3100,40,35,4900,"[5000,4950,4800]","[30,32,35]"
Туфли туфли-балетки,3300,2200,50,45,3400,"[3500,3400,3300]","[40,42,45]" 
